CRASH_CARRIER_ID	CRASH_ID	CARRIER_SOURCE_CODE	CRASH_CARRIER_NAME	CRASH_CARRIER_STREET	CRASH_CARRIER_CITY	CRASH_CARRIER_CITY_CODE	CRASH_CARRIER_STATE	CRASH_CARRIER_ZIP_CODE	CRASH_COLONIA	PREFIX	DOCKET_NUMBER	CRASH_CARRIER_INTERSTATE	NO_ID_FLAG	STATE_NUMBER	STATE_ISSUING_NUMBER
3838843	3838846		BALTIMORE GAS & ELECTRIC CO	7210 WINDSOR BLVD	BALTIMORE		MD	21244-2633				N	0		
3838844	3838847		BALTIMORE TANK LINES INC	180 EIGHTH AVENUE	GLEN BURNIE		MD	21061			118899	Y	0		
3838845	3838848		SINGER MD LLC	1324 BRASS MILL ROAD	BELCAMP		MD	21017				Y	0		
3838846	3838849		JOHN W RITTER TRUCKING INC	8271 BROCK BRIDGE RD	LAUREL		MD	20724				Y	0		
3838847	3838850		CHAD EVERETT FOGG	256 RIDGEWAY WARRENTON RD	WARRENTON		NC	27589			828445	Y	0		
3838848	3838851		NOAH''S ARK TRUCKING LLC	6219 CENTAURUS CT	BURKE		VA	22015			778376	Y	0		
3838849	3838852		MARYLAND TRANSIT ADMINISTRATION	1515 WASHINGTON BLVD	BALTIMORE		MD	21230				X	0		
3838850	3838853		INTERSTATE UTILITY SERVICES INC	19N041 GALLIGAN ROAD	DUNDEE		IL	60118			756211	Y	0		
3838851	3838854		ESTES EXPRESS LINES	3901 W BROAD ST	RICHMOND		VA	23230			97275	Y	0		
3838852	3838855		WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY	600 FIFTH STREET NW	WASHINGTON		DC	20001				N	0		
3838853	3838856		AMERI FREIGHT SYSTEMS LLC	1200 N ELLIS STREET	BENSENVILLE		IL	60106			490644	Y	0		
3838854	3838857		Z TRANSPORTATION INC	107 BEAVERBROOK RD SUITE 2	LINCOLN PARK		NJ	07035			558123	Y	0		
3838855	3838858		WNY TOPSOIL & MULCH AND ZOLADZ RIGGING & RECOVERY	13600 RAILROAD STREET	ALDEN		NY	14004			383099	Y	0		
3838856	3838859		JR TOWING & TRUCK REPAIR CORP	15 HAYES STREET	ELMSFORD		NY	10523			976667	Y	0		
3838857	3838860		RYDER TRUCK RENTAL INC	11690 NW 105 ST 1E	MIAMI		FL	33178				Y	0		
3838858	3838861		NORTH EAST HAULING LLC	19 WINTERBERRY RD	GUILFORD		CT	06437			666251	Y	0		
3838859	3838862		CONTRACT TRANSPORTATION SYSTEMS CO	101 PROSPECT AVENUE NW	CLEVELAND		OH	44115-1093			152509	Y	0		
3838860	3838863		FERRELLGAS L P	ONE LIBERTY PLAZA	LIBERTY		MO	64068			145095	Y	0		
3838861	3838864		DONNELLY CONSTRUCTION INC	155 ROUTE 67	MECHANICVILLE		NY	12118				Y	0		
3838862	3838865		VAN HAL TRUCKING INC	4105 JORDAN ROAD	JORDAN		ON	L0R 1S0			988876	Y	0		
3838863	3838866		EDWARD ARNOLD SCRAP PROCESSORS INC	2216 ANGLING ROAD	CORFU		NY	14036			96231	Y	0		
3838864	3838867		ADAMS ENTERPRISES INC	3960 SOUTHEASTERN AVE STE 105	INDIANAPOLIS		IN	46203			98155	Y	0		
3838865	3838868		OLD DOMINION FREIGHT LINE INC	500 OLD DOMINION WAY	THOMASVILLE		NC	27360			107478	Y	0		
3846001	3846004		DEACON TRANSPORTATION INC	380 DORCHESTER AVE	SOUTH BOSTON		MA	02127				N	0	S00000035543	MA
3846002	3846005		UPS	55 GLENLAKE PKY NE	ATLANTA		GA	30328-3474			115495	Y	0		
3846003	3846006		CLEAN HARBORS ENVIRONMENTAL SERVICES INC	42 LONGWATER DRIVE	NORWELL		MA	02061			152120	Y	0		
3846004	3846007		LAVALLEES BAKERY DISTRIBUTORS LLC	117 BEAVER STREET	WALTHAM		MA	02452				Y	0		
3846005	3846008		WORCESTER REGIONAL TRANSIT AUTHORITY	60 FOSTER RD	WORCESTER		MA	01608				X	0		
3846006	3846009		EMPIRE STONE LLC	8 EGYPT RD	SOMERS		CT	06071			84375	Y	0		
3846007	3846010		FEENEY BROTHERS EXCAVATION LLC DBA FBE	103 CLAYTON STREET	DORCHESTER		MA	02122				Y	0		
3846008	3846011		TEX-FLO ENTERPRISES INC	508 KERNAN MILL LANE	JACKSONVILLE		FL	32259			299802	Y	0		
3846009	3846012		M T I INC	580 DIVISION ST	ELIZABETH		NJ	07201			147923	Y	0		
3846010	3846013		COCA COLA	1 EXECUTIVE PARK DRIVE	BEDFORD		NH	03110-6913				Y	0		
3846011	3846014		U S PAVEMENT SERVICES INC	39 INDUSTRIAL PARKWAY	WOBURN		MA	01801				Y	0		
3846012	3846015		WESTERN EXPRESS INC	7135 CENTENNIAL PLACE	NASHVILLE		TN	37209			260323	Y	0		
3846013	3846016		PERFORMANCE FOOD GROUP	12500 WEST CREEK PARKWAY	RICHMOND		VA	23238			199118	Y	0		
3846014	3846017		DESIGN STORAGE AND HANDLING INC	3608 LOREN WHITNEY DRIVE	FREDERICKSBURG		VA	22408				Y	0		
3846015	3846018		R A WEBBER & SONS INC	357 CUNDYS HARBOR RD	HARPSWELL		ME	04079				N	0		
3846016	3846019		RSU 71	PO Box 325	Belfast		ME	04915				N	0	S00000011146	ME
3846017	3846020		GETCHELL BROS INC	1 UNION STREET	BREWER		ME	04412				Y	0		
3846018	3846021		PETERS CONSTRUCTION INC	474 LONG PLAINS RD	BUXTON		ME	04093			586177	N	0		
3846019	3846022		MERLE A FOSTER TRUCKING	2145 BANGOR RD	LINNEUS		ME	04730				N	0		
3846020	3846023		LAND OF GOLD LOGISTICS LLC	20 CAMP ST	NEWARK		NJ	07102				Y	0		
3846021	3846024		DANIEL FINLEY ALLEN & CO INC	114 SYLVESTER STREET	WESTBURY		NY	11590				N	0		
3846022	3846025		TRI STATE DISTRIBUTORS LLC	151 SUNNYSIDE BLVD	PLAINVIEW		NY	11803-1511				Y	0		
3846023	3846026		ESTES	3901 W BROAD ST	RICHMOND		VA	23230			97275	Y	0		
3845993	3845996		JOHN K TETTEH	120 FORT HILL AVE	LOWELL		MA	01852				N	0	S00000035969	MA
3845994	3845997		WESTERN EXPRESS INC	7135 CENTENNIAL PLACE	NASHVILLE		TN	37209			260323	Y	0		
3845995	3845998		R MANNION EXCAVATION INC	58 WEST ST	QUINCY		MA	02169-6306				N	0		
3845996	3845999		PRIME HOME DELIVERY	582 TREMONT ST	TAUNTON		MA	02780			937286	Y	0		
3845997	3846000		DAURIN O ARIAS	4140 WASHINGTON ST	ROSLINDALE		MA	02131				N	0	S00000035975	MA
3845998	3846001		PANERA BREAD AND ST LOUIS BREAD CO	3630 S GEYER ROAD SUITE 100	SUNSET HILLS		MO	63127				Y	0		
3845999	3846002		SCHNEIDER NATIONAL CARRIERS INC	3101 S PACKERLAND DR	GREEN BAY		WI	54313			133655	Y	0		
3846000	3846003		RUDOLPH FREIGHT SYSTEMS INC	1200 INDUSTRIAL ROAD	SOUTH FULTON		TN	38257			248505	Y	0		
3780669	3780672		SUNTECKTTS INTERMODAL	4500 SALISBURY ROAD 3RD FLOOR STE 305	JACKSONVILLE		FL	32216			670621	Y	0		
3780670	3780673		BURRIS EXPRESS CO	501 SE 5TH STREET	MILFORD		DE	19963			138377	Y	0		
3780671	3780674		GFL ENVIRONMENTAL	604 CANNERY AVENUE	TOWNSEND		DE	19734				Y	0		
3716316	3716319		MITCHELL COLLISION & TOWING CENTER INC	P O BOX 2154	CONWAY		AR	72033				N	0		
3716317	3716320		AMERICAN FURNITURE WAREHOUSE CO	8501 GRANT ST	THORNTON		CO	80229			167860	Y	0		
3716318	3716321		COLBY TACKER FARMS	516 7TH ST.	MARKED TREE		AR	72365				N	0	S00000023813	AR
3716319	3716322		EOS INC	1000 FIBER OPTIC DRIVE	NORTH LITTLE ROCK		AR	72117			830689	Y	0		
3716320	3716323		NATURAL STATE BRICK AND STONE	5342 HIGHWAY 1 S	JONESBORO		AR	72404				N	0		
3716321	3716324		CHARLES DEWEESE CONST CO INC	PO BOX 504	FRANKLIN		KY	42135-0504				Y	0		
3716322	3716325		BEACON SALES ACQUISITION INC	505 HUNTMAR PARK DRIVE	HERNDON		VA	20170				Y	0		
3716323	3716326		UNITED RENTALS	3120 SPUR 482	IRVING		TX	75062			415505	Y	0		
3716340	3716343		MANGUMS INC	2806 CRABTREE ST S	WILSON		NC	27893-6845				N	0		
3716341	3716344		RICHARD DIEHL INC	509 DEPOT STREET	JONESBOROUGH		TN	37659			192202	Y	0		
3716342	3716345		ANDREWS FREIGHT SERVICES LLC	611 E WINDSOR ST	MONROE		NC	28112			988066	Y	0		
3716343	3716346		RYDER	11690 NW 105 ST 1E	MIAMI		FL	33178				Y	0		
3716344	3716347		SALEM CARRIERS INC	175 CHARLOIS BLVD	WINSTON SALEM		NC	27103			162239	Y	0		
3716350	3716353		GUILFORD COUNTY BOARD OF ED	131 FRANKLIN BLVD	GREENSBORO		NC	27401-4652				X	0		
3716352	3716355		RONALD C SIMOES	7628 LEONARD RD	KENLY		NC	27542			424689	Y	0		
3716353	3716356		A C SCHULTES OF CAROLINA INC	3887 S NC 41	WALLACE		NC	28466				Y	0		
3716354	3716357		FAYETTEVILLE TRUCKING LLC	321 RANDOLPH AVE	FAYETTEVILLE		NC	28311-2744				N	0		
3716218	3716221		T & J XPRESS INC	4281 WEST 5015 SOUTH	KEARNS		UT	84118			393046	Y	0		
3716298	3716301		WALPOLE INC	269 NW 9TH STREET	OKEECHOBEE		FL	34972			178490	Y	0		
3716299	3716302		ROADMASTERS POWER TRANSPORT LLC	1201 HWY 175 W	Athens		TX	75751				X	0		
3716300	3716303		ANDERSON TRUCKING AND TRANSPORTATION SERVICE INC	2451 CENTERGATE DR #205	MIRAMAR		FL	33025			14734	Y	0		
3716301	3716304		PENN TANK LINES INC	300 LIONVILLE STATION ROAD	CHESTER SPRINGS		PA	19425			290005	Y	0		
3716302	3716305		DEAN TRANSPORTATION INC	2711 N HASKELL AVE SUITE 3400	DALLAS		TX	75204			328882	Y	0		
3716303	3716306		EVERGREEN FOREST PRODUCTS INC	9183 MOBILE ROAD	GREENVILLE		AL	36037-9183			157203	Y	0		
3716304	3716307		KNIGHT TRANSPORTATION INC	20002 NORTH 19TH AVENUE	PHOENIX		AZ	85027			227271	Y	0		
3716305	3716308		WASTE PRO OF FLORIDA INC	2101 WEST SR 434 STE 305	LONGWOOD		FL	32779				Y	0		
3716306	3716309		DART TRANSIT COMPANY	800 LONE OAK ROAD	EAGAN		MN	55121			114457	Y	0		
3716307	3716310		ASPLUNDH TREE EXPERT CO	708 BLAIR MILL ROAD	WILLOW GROVE		PA	19090-1784				Y	0		
3716310	3716313		CITY OF MONTGOMERY SCHOOLS	934 NORTH RIPLEY STREET	MONTGOMERY		AL	36104				X	0		
3716312	3716315		NEW BERN TRANSPORT CORPORATION	1111 WESTCHESTER AVENUE	WHITE PLAINS		NY	10604			321263	Y	0		
3716313	3716316		GARDA CL SOUTHEAST INC	2000 NW CORPORATE BLVD	BOCA RATON		FL	33431-7304			291850	Y	0		
3716314	3716317		CAL-ARK INTERNATIONAL INC	12103 I30	LITTLE ROCK		AR	72209			270827	Y	0		
3716315	3716318		ORGILL TRANSPORTATION CO LLC	4100 S HOUSTON LEVEE RD	COLLIERVILLE		TN	38017			198163	Y	0		
3716258	3716261		FIVE STARZ TRUCKING INC	PO BOX 42183	FREDERICKSBRG		VA	22404-2183				N	0		
3716259	3716262		BFI WASTE SERVICES LLC	18500 N ALLIED WAY	PHOENIX		AZ	85054				Y	0		
3716260	3716263		J AND M CL INC	3601 COLLINS FERRY RD	GLADYS		VA	24554				N	0		
3716261	3716264		THOMPSON TRUCKING INC	P O BOX 969	CONCORD		VA	24538-0969			193988	Y	0		
3716262	3716265		RED CLASSIC TRANSIT LLC	1800 CONTINENTAL BLVD STE 400	CHARLOTTE		NC	28273			731758	Y	0		
3716263	3716266		FITZGERALD EXCAVATING & CONSTRUCTION INC	PO BOX 2168	WINCHESTER		VA	22604				Y	0		
3716264	3716267		ABBOTT BUS LINES INC	1704 GRANBY ST NE	ROANOKE		VA	24012-5603			121564	Y	0		
3716279	3716282		CITY OF BOAZ BOARD OF EDUCATION	PO BOX 721	BOAZ		AL	35957				X	0		
3716280	3716283		J B HUNT TRANSPORT INC	615 J B HUNT CORPORATE DRIVE	LOWELL		AR	72745			135797	Y	0		
3716281	3716284		CITY OF DOTHAN	210 NORTH SAINT ANDREWS ST	DOTHAN		AL	36301				X	0		
3716282	3716285		PHENIX TRANSPORTATION WEST INC	P O DRAWER D	FOREST		MS	39074			739395	Y	0		
3716283	3716286		BIG E TRANSPORTATION LLC	715 EAST 7TH STREET	RICHMOND		VA	23224			644288	Y	0		
3716284	3716287		ABC TRANSPORTATION A NUCOR COMPANY	1150 STATE DOCKS ROAD	EUFAULA		AL	36027			148283	Y	0		
3716285	3716288		INDIVIDUAL	265 CO RD 1371	VINEMONT		AL	35179				X	0		
3716286	3716289		WHITE TAIL AUTO TRANSPORT LLC	70 BUCK TRAIL	SOCIAL CIRCLE		GA	30025			382912	Y	0		
3716287	3716290		TYSON	2200 DON TYSON PARKWAY     AR07689	SPRINGDALE		AR	72762-6900			145655	Y	0		
3716288	3716291		TIDEWATER EQUIPMENT	704 WEST FRONT ST	EVERGREEN		AL	36401				X	0		
3716289	3716292		LOGVIN LOGISTICS LLC	644 BRIARWOOD DR	PENSACOLA		FL	32506			948959	Y	0		
3716290	3716293		KOCH FOODS LLC	1826 CAPPELLA STREET	CHATTANOOGA		TN	37408-1826				Y	0		
3716291	3716294		KRISPY KREME DOUGHNUTS	1990 NEW PATTON CHAPEL RD	HOOVER		AL	35226				X	0		
3716292	3716295		DONES AUTO TRANSPORT INC	7500 NW 82 PLACE	MEDLEY		FL	33166			697509	Y	0		
3716293	3716296		VENTURE EXPRESS INC	131 INDUSTRIAL BLVD	LAVERGNE		TN	37086			151894	Y	0		
3716254	3716257		ACCURATE COURIER EXPRESS INC	1711 ELLEN RD	RICHMOND		VA	23230			393535	Y	0		
3715919	3715922		EAGLE RIDGE SHAVINGS LLC	2426 PEEWEE CROSSING RD	SEYMOUR		MO	65746				Y	0		
3715924	3715927		LOLO TRUCKING INC	6952 KENDAL	DEARBORN		MI	48126			834988	Y	0		
3715925	3715928		3D TRANSPORTATION INC	PO BOX 9	MAURICE		IA	51036			492712	Y	0		
3715929	3715932		MIKE AND MINDY HEITHOLD FAMILY FARMS	57870 859 ROAD	WAKEFIELD		NE	68784				Y	0		
3715833	3715836		WERNER ENTERPRISES INC	14507 FRONTIER ROAD	OMAHA		NE	68138			138328	Y	0		
3715834	3715837		RUAN TRANSPORT CORPORATION	666 GRAND AVENUE	DES MOINES		IA	50309			107496	Y	0		
3715781	3715784		JORGE AND MAILI INC	9501 NORMANDY BLVD	JACKSONVILLE		FL	32221				N	0		
3715783	3715786		ERIC M ESKILDSEN TRUCKING LLC	110 CHARLES ST	CHARLOTTE		IA	52731			22908	Y	0		
3715784	3715787		MARSHALL COUNTY SCHOOLS	86 HIGH SCHOOL ROAD	BENTON		KY	42025				X	0		
3715785	3715788		W ANTONIO GUILLEN	5159 BELL AVE	SHELBYVILLE		KY	40065				N	0		
3715786	3715789		PROMAXIMA MANUFACTURING LTD	5310 ASHBROOK	HOUSTON		TX	77081			339395	Y	0		
3715787	3715790		DRM TRUCKING LLC	145 JACKSON SUBDIVISION	WILLIAMSBURG		KY	40769			673719	Y	0		
3715788	3715791		VENTURE LOGISTICS	1101 S HARDING COURT	INDIANAPOLIS		IN	46217			394445	Y	0		
3715789	3715792		PEGASUS TRANSPORTATION	2903 S ENGLISH STATION ROAD	LOUISVILLE		KY	40299			200964	Y	0		
3715791	3715794		HOGAN TRUCK LEASING INC	2150 SCHUETZ ROAD	SAINT LOUIS		MO	63146				Y	0		
3715792	3715795		KENTUCKY PETROLEUM SUPPLY LLC	PO BOX 4157	WINCHESTER		KY	40391				Y	0		
3715793	3715796		US XPRESS	4080 JENKINS ROAD	CHATTANOOGA		TN	37421			188121	Y	0		
3715794	3715797		MCCRAKEN COUNTY SCHOOLS	435 BERGER ROAD	PADUCAH		KY	42001				X	0		
3715795	3715798		AMBASSADOR	13477 PROSPECT ROAD SUITE 200	STRONGSVILLE		OH	44149			751536	Y	0		
3715796	3715799		WARE ENTERPRISES INC	175 OWEN CREEK ROAD	PROVIDENCE		KY	42450			455286	Y	0		
3715761	3715764		ALLIED WASTE SERVICES OR BFI OR REPUBLIC SERVICES	18500 NORTH ALLIED WAY	PHOENIX		AZ	85054				Y	0		
3715762	3715765		BLEVINS INC	421 HART LANE	NASHVILLE		TN	37216			437164	Y	0		
3715884	3715887		HOOKER LOGGING INC	40109 COUNTY RD 3	LAPORTE		MN	56461				Y	0		
3715885	3715888		SWIFT TRANSPORTATION CO OF ARIZONA LLC	2200 S 75TH AVE	PHOENIX		AZ	85043			136818	Y	0		
3715886	3715889		WILLOW EXPRESS LTD	1162 EAST MAIN STREET	MELROSE		MN	56352			392719	Y	0		
3715887	3715890		FEDEX FREIGHT	2200 FORWARD DRIVE	HARRISON		AR	72601			121805	Y	0		
3715898	3715901		CHARLES D HITCHCOCK III	21619 HOWARD BRANCH	WARRENTON		MO	63383				X	0		
3715899	3715902		THE FLESH COMPANY	2407 JOTHI AVENUE	PARSONS		KS	67357				Y	0		
3715900	3715903		MERIDIAN WASTE MISSOURI LLC	13524 NORTH WEST INDUSTRIAL DR	BRIDGETON		MO	63044			970123	Y	0		
3715764	3715767		SCHNEIDER NATIONAL CARRIERS INC	7101 WEST 17TH AVENUE	GARY		IN	46406				N	0		
3715765	3715768		TNT TOWING	4 TPM LN	CONWAY		AR	72032			85687	Y	0		
3715766	3715769		BUSBY TRANSPORT LLC	118 CHELLY DR	PALESTINE		AR	72372			86347	Y	0		
3715767	3715770		VAULT	PO BOX 182	COCKEYSVILLE		MD	21030				N	0		
3715768	3715771		EAST END TOWING INC	14721 IRONTON RD	LITTLE ROCK		AR	72206-5693				N	0		
3715769	3715772		GRANT GARRETT EXCAVATING INC	174 CORNERSTONE COURT SUITE B	HOT SPRINGS		AR	71913			44316	Y	0		
3715770	3715773		FIRST STUDENT	5400 MURRAY STREET	LITTLE ROCK		AR	72209				X	0		
3715771	3715774		LENTZ CARRIER COMPANY LLC	194 SARDIS ROAD	MORRILTON		AR	72110			577119	Y	0		
3715918	3715921		SAFETY-KLEEN SYSTEMS INC	2600 N CENTRAL EXPY STE 400	RICHARDSON		TX	75080			502328	Y	0		
3715797	3715800		A H C TRUCKING CO	2200 KENSINGTON COURT	OAK BROOK		IL	60523			186924	Y	0		
3715803	3715806		LITTLES TRUCKING	2701 ANGEL PL LN	ANGIER		NC	27501				N	0		
3715804	3715807		CHARLOTTE-MECKLENBURG BOARD OF EDUCATION	4335 STUART ANDREW BLVD	CHARLOTTE		NC	28217-1542				X	0		
3716004	3716007		BIG ROY TRUCKING INC	759 7TH AVENUE NW	MERCER		ND	58559			927022	N	0		
3716020	3716023		RINEHART TRUCKING	42223 MCKENZIE HWY	SPRINGFIELD		OR	97478				N	0	256025	OR
3716498	3716501		RISON ENTERPRISES	442 WYOMING ST	GOODING		ID	83330				Y	0		
3716499	3716502		R&R SERVICES INC	30 S JAMES FAIRBANKS LN	BOULDER		WY	82923			742439	Y	0		
3716500	3716503		SHIPEX LLC	376 EAST 400 SOUTH SUITE 110	SALT LAKE CITY		UT	84111			596778	Y	0		
3716502	3716505		NAVAJO EXPRESS INC	1400 WEST 64TH AVENUE	DENVER		CO	80221			157626	Y	0		
3716370	3716373		4-STATE FREIGHT LLC	256 W HWY 126	JASPER		MO	64755			7478	Y	0		
3716371	3716374		ADUSA TRANSPORTATION LLC	2085 HARRISON ROAD	SALISBURY		NC	28147			164100	Y	0		
3716372	3716375		MOUNTAIRE FARMS INC.	PO BOX 339	LUMBERTON		NC	28359-0339				N	0		
3716373	3716376		HAJOCA CORPORATION	2001 JOSHUA RD	LAFAYETTE HILL		PA	19444				Y	0		
3716374	3716377		US FOODS INC	6133 N RIVER ROAD 9TH FLOOR	ROSEMONT		IL	60018			221931	Y	0		
3716377	3716380		DENNIS E ANDERSON	1847 UPPER BRUSH CREEK ROAD	MARSHALL		NC	28753-5551			470882	Y	0		
3716378	3716381		SWIFT LEASING CO LLC	2200 S 75TH AVE	PHOENIX		AZ	85043			136818	Y	0		
3716379	3716382		DUKE TRANSPORTATION LLC	390 GRAND AVE APT C	CINCINNATI		OH	45205			948277	Y	0		
3716380	3716383		FLEET SERVICES ASSET MANA	1417 MURFREESBORO RD	NASHVILLE		TN	37219				X	0		
3716381	3716384		BCMS TRUCKING LLC	106 LAKEWOOD CIRCLE	RUSSELLVILLE		AR	72802			935759	Y	0		
3716382	3716385		BRIANNA TRANSPORT INC	8510 E  29TH ST N UNIT # 1521	WICHITA		KS	67226			715256	Y	0		
