INSP_VIOLATION_ID	INSPECTION_ID	SEQ_NO	PART_NO	PART_NO_SECTION	INSP_VIOL_UNIT	INSP_UNIT_ID	INSP_VIOLATION_CATEGORY_ID	OUT_OF_SERVICE_INDICATOR	DEFECT_VERIFICATION_ID	CITATION_NUMBER	PART_SECTION_ID
222025671	65526374	1	392	16	D		11	N	3		9386
222025673	65526376	1	392	16	D		11	N	3		9386
222025700	65526381	1	392	2MI	D		14	N	3	Y966814-0	385703
222025701	65526381	2	391	41(a)	D		1	N	3		9377
222025773	65526393	1	392	16	D		11	N	3	Y966815-1	9386
222025803	65526405	1	392	16	D		11	N	3	Y966792-6	9386
222025804	65526405	2	392	16B	D		11	N	3		396396
222025872	65526417	1	392	16	D		11	N	3		9386
222025900	65526428	1	392	2IRP	2	166874100	30	N	3		385701
222025901	65526429	1	392	2	1	166874101	47	N	3	Y573757-0	390281
222025902	65526429	2	392	2-SLLEWA1	1	166874101	47	N	3	Y573757-0	390260
222025904	65526432	1	392	16	D		11	N	3		9386
222025948	65526445	1	392	2LV	D		14	N	3	Y966819-5	385702
222025950	65526447	1	392	2DL	D		14	N	3		385698
222025982	65526470	1	393	47(e)	1	166874158	15	N	3		257965
222025983	65526470	2	393	53(b)	1	166874158	16	N	3		385681
222025984	65526470	3	393	47(e)	1	166874158	15	N	3		257965
222025985	65526470	4	396	3(a)(1)	1	166874158	15	Y	99		383183
222026013	65526480	1	395	22(h)(4)	D		7	N	3		396422
222026014	65526480	2	395	22(h)(2)	D		7	N	3		396436
222026020	65526488	1	391	41(a)	D		1	N	3		9377
222026028	65526492	1	393	9(a)	1	166874203	20	N	3		9172
222026029	65526492	2	393	9(a)	2	166874204	20	Y	99		9183
222026030	65526492	3	393	75A	2	166874204	23	Y	99		8494
222026032	65526494	1	393	95(f)	1	166874207	28	N	3		9180
222026039	65526495	1	393	100(a)	2	166874214	25	Y	1		9417
222026040	65526496	1	393	9(a)	2	166874216	20	N	3		9172
222026041	65526496	2	393	75(f)	2	166874216	23	Y	99	46J0DLJ	9340
222026042	65526496	3	392	2-SLLEWA1	D		47	N	3	46H0DLJ	390260
222026043	65526496	4	383	23(a)(2)	D		14	Y	3		9547
222026044	65526496	5	393	23	2	166874216	20	Y	1	46K0DLJ	396337
222026050	65526500	1	392	2-SLLS3	D		45	N	3		390248
222026055	65526504	1	392	2-SLLEWA1	D		47	N	3	05B0TRD	390260
222026057	65526508	1	391	41(a)-FPC	D		1	Y	3		393833
222026058	65526508	2	390	21(b)	1	166874242	30	N	3		9426
222026059	65526508	3	393	95(a)	1	166874242	28	N	3		9178
222026092	65526526	1	393	75A	1	166874274	23	Y	99		8494
222026093	65526527	1	393	24(a)	1	166874275	20	N	3		257953
222026094	65526527	2	393	9(a)	1	166874275	20	N	3		9172
222026095	65526527	3	391	45(b)	D		1	Y	3	65X0ASN	8487
222026104	65526532	1	392	9b(a)	1	166874283	30	Y	99	5N00HBZ	396081
222026105	65526532	2	390	19(a)(1)	1	166874283	30	N	3		393823
222026128	65526549	1	392	2RG	1	166874309	30	N	3		385705
222026132	65526557	1	393	23	2	166874318	20	Y	99		396337
222026169	65526576	1	392	2DIM	2	166874349	30	N	3		385697
222026170	65526577	1	392	2DIM	2	166874351	30	N	3		385697
222026171	65526577	2	393	60(c)	2	166874351	26	N	3		257571
222026198	65526590	1	392	2	D		14	N	3		8496
222026199	65526590	2	391	41(a)-F	D		1	N	3		393832
222026200	65526590	3	392	9b(a)	1	166874381	30	N	3		396080
222026201	65526591	1	390	19(a)(1)	1	166874382	30	N	3		393823
222026209	65526593	1	393	81	1	166874385	30	N	3		9350
222026210	65526594	1	396	17(c)	2	166874387	29	N	3		9202
222026211	65526594	2	393	75C-OOS	2	166874387	99	N	3	DJP0AYY	396408
222026224	65526598	1	393	47(e)	1	166874392	15	N	3		257965
222026225	65526598	2	393	53(b)	1	166874392	16	N	3		385681
222026226	65526599	1	393	209(d)	1	166874393	21	Y	99	2J70FW5	8493
222026229	65526601	1	393	209(d)	1	166874397	21	Y	99	2J80FW5	8493
222026230	65526601	2	393	65(c)	1	166874397	18	N	3		9317
222026231	65526601	3	393	47(e)	1	166874397	15	N	3		257965
222026232	65526601	4	393	53(b)	1	166874397	16	N	3		385681
222026233	65526601	5	396	3(a)(1)	1	166874397	15	Y	99		383183
222026236	65526603	1	391	11(b)(4)	D		14	Y	3		9373
222026241	65526608	1	390	19(a)(1)	1	166874407	30	N	3		393823
222026242	65526610	1	391	11(b)(5)-DNL	D		14	Y	3		393827
222026243	65526610	2	392	2-SLLEWG1	D		47	N	3		390249
222026244	65526610	3	392	2FT	D		14	N	3		385699
222026252	65526612	1	392	2FT	D		14	N	3		385699
222026253	65526612	2	390	21(b)	1	166874412	30	N	3		9426
222026265	65526632	1	393	9(a)	2	166874445	20	N	3		396450
222026272	65526639	1	391	41(a)-FPC	D		1	Y	3	93Z0BJK	393833
222026273	65526639	2	392	9b(a)	1	166874458	30	Y	99	9410BJK	396448
222026274	65526639	3	390	21(b)	1	166874458	30	N	3	WARNING	9426
222026275	65526639	4	393	95(a)	1	166874458	28	N	3	9400BJK	9178
222026276	65526639	5	393	95(f)	1	166874458	28	N	3	WARNING	9180
222026323	65526652	1	391	45(b)	D		1	N	3		8487
222026324	65526652	2	390	21(b)	1	166874493	30	N	3		9426
222026325	65526652	3	393	75A	1	166874493	23	Y	99	5B10JF3	8494
222026326	65526652	4	390	19(a)(1)	1	166874493	30	N	3		393823
222026327	65526655	1	393	9(a)	1	166874498	20	N	3		9172
222026328	65526655	2	393	9(a)	2	166874499	20	N	3		9172
222026329	65526655	3	393	9(a)	2	166874499	20	N	3		9172
222026356	65526663	1	390	21(b)	1	166874512	30	N	3		9426
222026357	65526663	2	392	2RG	1	166874512	30	N	3		385705
222026358	65526663	3	392	2DIM	1	166874512	30	N	3	6W20B5N	385697
222026359	65526663	4	390	19(a)(1)	1	166874512	30	N	3		393823
222026363	65526665	1	392	2RG	2	166874515	30	N	3		385705
222026364	65526666	1	391	11(b)(5)-DEN	D		14	Y	3	6YB0ADG	393826
222026365	65526666	2	396	17(c)	1	166874516	29	N	3		9202
222026366	65526666	3	392	2FT	1	166874516	14	N	3		385699
222026367	65526666	4	392	2-SLLEWG1	1	166874516	47	N	3	6Y90ADG	390249
222026370	65526668	1	393	95(a)	1	166874518	28	N	3		9178
222026371	65526668	2	393	11	1	166874518	20	N	3		9422
222026378	65526679	1	392	2RG	1	166874533	30	N	3		385705
222026379	65526680	1	391	45(b)	D		1	N	3		8487
222026380	65526681	1	393	9(a)	1	166874535	20	N	3		9172
222026381	65526681	2	393	78	1	166874535	26	N	3		9347
222026401	65526694	1	393	9(a)	1	166874557	20	N	3		9172
222026402	65526694	2	393	9(a)	1	166874557	20	N	3		9182
222026403	65526694	3	393	71(h)(10)	1	166874557	17	Y	99		9331
222026404	65526694	4	393	17(b)	1	166874557	20	Y	99		9442
222026406	65526696	1	393	11	1	166874560	20	N	3		9422
222026407	65526696	2	393	9(a)	1	166874560	20	N	3		9172
222026412	65526697	1	391	41(a)-F	D		1	N	3		393832
222026413	65526697	2	392	9b(a)	1	166874562	30	N	3		396080
222026414	65526697	3	393	95(a)	1	166874562	28	N	3		9178
222026415	65526697	4	393	110(b)	1	166874562	25	Y	1		256389
222026416	65526697	5	396	3(a)(1)	2	166874563	30	N	3		9203
222026417	65526697	6	392	2	2	166874563	17	N	3		396414
222026432	65526700	1	395	8(a)	D		3	Y	3		254677
222026433	65526700	2	391	41(a)-F	D		1	N	3		393832
222026434	65526700	3	383	23(a)(2)	D		14	Y	3	69K0B3T	9547
222026435	65526700	4	390	21(b)	1	166874566	30	N	3		9426
222026436	65526700	5	393	95(a)	1	166874566	28	N	3		9178
222026437	65526700	6	393	95(f)	1	166874566	28	N	3		9180
222026438	65526700	7	392	2RG	1	166874566	30	N	3	69C0B3T	385705
222026439	65526700	8	392	2RG	1	166874566	30	N	3	69H0B3T	385705
222026440	65526700	9	393	9(a)	2	166874567	20	Y	99		283327
222026441	65526700	10	393	25(f)	2	166874567	20	N	3		9271
222026442	65526700	11	393	43	2	166874567	16	N	3	69J0B3T	9279
222026443	65526700	12	393	100(a)	2	166874567	25	Y	99		9417
222026445	65526704	1	393	9(a)	1	166874572	20	N	3		9172
222026446	65526704	2	393	9(a)	1	166874572	20	N	3		9172
222026448	65526709	1	393	45(b)(2)	2	166874583	16	N	3		392460
222026458	65526714	1	393	100(b)	1	166874590	25	Y	1		254958
222026459	65526714	2	393	41	1	166874590	16	N	3		9278
222026460	65526714	3	392	2WC	1	166874590	30	N	3		385707
222026461	65526714	4	393	95(a)	1	166874590	28	N	3		9178
222026462	65526714	5	396	17(c)	1	166874590	29	N	3		9202
222026463	65526714	6	390	21(b)	1	166874590	30	N	3		9426
222026464	65526714	7	390	19(a)(1)	1	166874590	30	N	3		393823
222026465	65526714	8	396	9(d)(2)	1	166874590	30	N	3		9214
222026466	65526715	1	393	75(a)(3)	1	166874591	23	Y	99		9334
222026467	65526715	2	390	21(b)	1	166874591	30	N	3		9426
222026468	65526715	3	393	9(a)	1	166874591	20	N	3		9172
222026469	65526715	4	393	78	1	166874591	26	N	3		9347
222026470	65526715	5	393	81	1	166874591	30	N	3		9350
222026471	65526715	6	393	95(a)	1	166874591	28	N	3		9178
222026472	65526715	7	392	2RG	1	166874591	30	N	3		385705
222026503	65526729	1	392	2-SLLS3	D		45	N	3		390248
222026504	65526729	2	393	78	1	166874618	26	N	3		9347
222026506	65526731	1	392	2-SLLS2	D		45	N	3		390247
222026507	65526731	2	392	16	D		11	N	3	C200AZB	9386
222026508	65526731	3	391	41(a)-FPC	D		1	Y	3		393833
222026509	65526731	4	392	2	D		14	N	3		8496
222026510	65526731	5	393	9(a)	1	166874621	20	N	3	C1Z0AZB	9172
222026511	65526731	6	393	11	1	166874621	20	N	3		9422
222026527	65526742	1	396	5(b)	1	166874638	30	N	3		9211
222026528	65526742	2	393	45(d)	1	166874638	16	N	3		392462
222026563	65526761	1	392	2LV	D		14	N	3		385702
222026564	65526761	2	390	21(b)	1	166874680	30	N	3		9426
222026565	65526761	3	393	95(f)	1	166874680	28	N	3	1P20AZ9	9180
222026566	65526761	4	392	2RG	2	166874681	30	N	3		385705
222026567	65526761	5	393	11	2	166874681	20	N	3		9422
222026574	65526765	1	392	2C	D		40	N	3	2230MD3	9389
222026575	65526765	2	393	9(a)	2	166874691	20	N	3		9172
222026576	65526765	3	393	9(a)	2	166874691	20	N	3		283327
222026577	65526765	4	393	9(a)	2	166874691	20	N	3		9172
222026578	65526765	5	392	2	D		14	N	3	2240MD3	8496
222026579	65526765	6	396	17(c)	1	166874690	29	N	3		9202
222026591	65526771	1	393	9(a)	1	166874703	20	Y	99	4YZ0CRK	283327
222026592	65526771	2	393	9(a)	1	166874703	20	N	3		9172
222026593	65526771	3	393	75C-OOS	1	166874703	99	Y	99		396408
222026594	65526771	4	393	75(a)(3)	1	166874703	23	Y	99	4YY0CRK	9334
222026595	65526771	5	393	75C	1	166874703	23	N	3		2909
222026596	65526771	6	393	75C	1	166874703	23	N	3		2909
222026599	65526776	1	177	834(a)	1	166874712	34	Y	99		9639
222026600	65526777	1	390	19(a)(1)	1	166874713	30	N	3		393823
222026601	65526777	2	393	95(a)	1	166874713	28	N	3		9178
222026602	65526777	3	393	23	2	166874714	20	Y	99		257952
222026618	65526782	1	396	17(c)	2	166874728	29	N	3		9202
222026619	65526782	2	395	22(h)(2)	D		7	N	3		396436
222026622	65526790	1	392	2-SLLEWA1	D		47	N	3	3DR0E66	390260
222026644	65526797	1	393	45(b)(2)	2	166874757	16	Y	99		257958
222026645	65526797	2	393	45(b)(2)	2	166874757	16	Y	99		257958
222026646	65526797	3	393	75A	1	166874756	23	Y	99		8494
222026647	65526798	1	393	75A	2	166874759	23	Y	99		8494
222026649	65526800	1	392	2DIM	2	166874763	30	N	3	3ZK0BMB	385697
222026651	65526803	1	392	5(a)(2)	D		10	Y	3	6000AYZ	396416
222026661	65526804	1	391	41(a)-F	D		1	N	3	7C80BGZ	393832
222026662	65526804	2	392	2MI	D		14	N	3	7C60BGZ	385703
222026663	65526804	3	390	21(b)	1	166874771	30	N	3		9426
222026664	65526804	4	392	9b(a)	1	166874771	30	Y	99	7C70BGZ	396448
222026665	65526804	5	393	75B	1	166874771	23	N	3		254322
222026669	65526807	1	393	45(b)(2)	1	166874778	16	Y	99		392461
222026670	65526807	2	396	5(b)	1	166874778	30	N	3		9211
222026671	65526807	3	395	24(d)	D		7	N	3		396428
222026673	65526809	1	395	22(h)(2)	D		7	N	3		396436
222026674	65526809	2	395	22(h)(4)	D		7	N	3		396422
222026675	65526809	3	393	95(a)	1	166874782	28	N	3		9178
222026681	65526818	1	392	2FT	D		14	N	3		385699
222026682	65526818	2	393	9(a)	2	166874796	20	N	3		9172
222026683	65526818	3	393	9(a)	2	166874796	20	N	3		9172
222026684	65526819	1	392	2MI	D		14	N	3	7C90BGZ	385703
222026687	65526821	1	391	41(a)-FPC	D		1	Y	3		393833
222026688	65526821	2	393	9(a)	2	166874802	20	N	3		9172
222026689	65526821	3	392	9b(a)	1	166874801	30	Y	99		396081
222026690	65526821	4	393	11	2	166874802	20	N	3		9422
222026691	65526821	5	393	95(f)	1	166874801	28	N	3		9180
222026692	65526821	6	392	2MI	D		14	N	3		385703
222026693	65526821	7	393	78	1	166874801	26	N	3		9347
222026694	65526821	8	390	19(a)(1)	1	166874801	30	N	3		393823
222026700	65526824	1	391	41(a)-F	D		1	N	3	3SQ0G2R	393832
222026701	65526824	2	391	11B2	D		14	N	3		9372
222026702	65526824	3	393	95(f)	1	166874805	28	N	3		9180
222026703	65526824	4	393	9(a)	1	166874805	20	N	3		9172
222026704	65526824	5	390	21(b)	1	166874805	30	N	3		9426
222026705	65526824	6	392	2-SLLEWG1	1	166874805	47	N	3	3SP0G2R	390249
222026706	65526824	7	393	75(f)	1	166874805	23	Y	99	3SR0G2R	9340
222026721	65526827	1	396	5(b)	1	166874810	30	N	3		9211
222026722	65526830	1	392	2DL	D		14	N	3		385698
222026723	65526830	2	390	21(c)	1	166874813	30	N	3		9368
222026724	65526830	3	393	95(f)	1	166874813	28	N	3		9180
222026725	65526830	4	393	9(a)	2	166874814	20	N	3		396450
222026726	65526830	5	393	9(a)	2	166874814	20	Y	99		283327
222026727	65526830	6	393	9(a)	2	166874814	20	N	3		9172
222026728	65526830	7	393	9(a)	2	166874814	20	N	3		9183
222026729	65526830	8	393	43	2	166874814	16	Y	1		9279
222026750	65526838	1	393	9(a)	1	166874824	20	N	3		9172
222026751	65526838	2	393	9(a)	1	166874824	20	N	3		9172
222026753	65526840	1	392	2C	D		40	N	3		9389
222026754	65526840	2	393	9(a)	1	166874826	20	N	3		9172
222026766	65526852	1	392	2C	D		40	N	3	58R0BJG	9389
222026767	65526852	2	390	21(e)	1	166874844	30	N	3		9369
222026774	65526853	1	392	2DL	D		14	N	3		385698
222026775	65526853	2	393	9(a)	2	166874847	20	N	3		9183
222026776	65526853	3	393	9(a)	2	166874847	20	N	3		9172
222026777	65526853	4	393	9(a)	2	166874847	20	Y	99		396450
222026778	65526853	5	393	9(a)	2	166874847	20	Y	99	94T0B8X	283327
222026779	65526853	6	392	2RG	2	166874847	30	N	3		385705
222026780	65526853	7	392	2RG	2	166874847	30	N	3	94V0B8X	385705
222026781	65526853	8	393	43	2	166874847	16	Y	99		9279
222026785	65526857	1	383	91(a)	D		14	Y	3		9552
222026786	65526857	2	392	2-SLLEWA1	D		47	N	3	54G0AD9	390260
222026795	65526863	1	391	11(b)(5)-DEN	D		14	Y	3		393826
222026802	65526870	1	392	16	D		11	N	3	94X0B8X	9386
222026803	65526870	2	393	60(c)	1	166874875	26	N	3		257571
222026806	65526872	1	391	41(a)-FPC	D		1	Y	3		393833
222026807	65526872	2	390	21(b)	1	166874877	30	N	3		9426
222026808	65526872	3	393	9(a)	2	166874878	20	N	3		9183
222026809	65526872	4	393	9(a)	2	166874878	20	N	3		9172
222026810	65526872	5	393	110(c)	2	166874878	25	Y	99		256595
222026811	65526872	6	393	43	2	166874878	16	Y	99	94Z0B8X	9279
222026846	65526890	1	391	41(a)	D		1	Y	3		9377
222026847	65526890	2	395	8(a)(1)	D		3	Y	3		396452
222026848	65526890	3	390	21(b)	1	166874914	30	N	3		9426
222026849	65526890	4	392	2IRP	1	166874914	30	N	3		385701
222026850	65526890	5	392	2FT	1	166874914	14	N	3		385699
222026851	65526891	1	391	45(b)	D		1	N	3		8487
222026852	65526891	2	392	2	D		14	N	3		8496
222026853	65526891	3	390	21(b)	1	166874915	30	N	3		9426
222026860	65526893	1	395	8F01	D		3	N	3		396252
222026861	65526893	2	383	111	D		14	N	3		390619
222026876	65526895	1	396	17(c)	1	166874923	29	N	3	19-887-366211	9202
222026877	65526895	2	393	95(a)	1	166874923	28	N	3		9178
222026878	65526895	3	393	95(f)	1	166874923	28	N	3		9180
222026879	65526895	4	393	60(c)	1	166874923	26	N	3		257571
222026880	65526895	5	393	11	1	166874923	20	N	3		9422
222026881	65526895	6	393	11	1	166874923	20	N	3		9422
222026882	65526895	7	393	11	1	166874923	20	N	3		9422
222026883	65526895	8	393	11	1	166874923	20	N	3		9422
222026884	65526895	9	393	11	1	166874923	20	N	3		9422
222026885	65526895	10	392	16	D		11	N	3		9386
222026886	65526895	11	392	7(a)	D		14	N	3		390280
222026887	65526895	12	392	8	D		14	N	3		9409
222026931	65526905	1	395	24(c)(1)(i)	D		50	N	3		396423
222026932	65526905	2	395	8	D		7	N	3		9194
222026933	65526905	3	395	8	D		7	N	3		9194
222026934	65526905	4	390	21(b)	1	166874958	30	N	3		9426
222026939	65526908	1	392	2	1	166874962	30	N	3		379214
222026940	65526908	2	392	2FT	1	166874962	14	N	3		385699
222026941	65526908	3	396	17(c)	2	166874963	29	N	3		9202
222026958	65526915	1	392	16	D		11	N	3		9386
222026959	65526915	2	391	41(a)-FPC	D		1	Y	3		393833
222026960	65526915	3	392	7(a)	D		14	N	3		390280
222026961	65526916	1	392	2-SLLS2	D		45	N	3		390247
222027074	65526947	1	392	2W	1	166875041	47	N	3		385680
222027075	65526949	1	392	2W	1	166875045	47	N	3		385680
222027076	65526949	2	392	9a(a)(1)	1	166875045	30	Y	99		337774
222027084	65526953	1	393	30	1	166875050	30	N	3		9274
222027085	65526953	2	393	9(a)	1	166875050	20	N	3		9172
222027145	65526974	1	393	95(a)	1	166875080	28	N	3		9178
222027146	65526975	1	383	23(a)(2)	D		14	Y	99	292S07V	9547
222027147	65526976	1	393	9(a)	1	166875082	20	Y	99	292S5KW	283327
222027148	65526976	2	393	100(b)	1	166875082	25	Y	99		254958
222027149	65526976	3	393	95(a)	1	166875082	28	N	3		9178
222027150	65526976	4	393	95(f)	1	166875082	28	N	3	292S5XV	9180
222027151	65526976	5	393	9(a)	1	166875082	20	N	3	292S61H	9172
222027152	65526976	6	393	19	1	166875082	20	N	3		9443
222027153	65526976	7	396	5(b)	1	166875082	30	N	3		9211
222027154	65526976	8	390	19	1	166875082	30	N	3		68237
222027155	65526976	9	392	2	1	166875082	30	N	3		379214
222027156	65526976	10	392	7(a)	D		14	N	3		390280
222027312	65527021	1	390	21(a)	1	166875139	30	N	3		9566
222027313	65527021	2	393	9(a)	1	166875139	20	N	3		9182
222027314	65527021	3	393	30	1	166875139	30	N	3		9274
222027315	65527021	4	393	203(c)	1	166875139	30	N	3		9453
222027316	65527021	5	393	203(e)	1	166875139	19	N	3		9455
222027317	65527021	6	393	9(a)	1	166875139	20	N	3		9172
222027412	65527042	1	391	41(a)	D		1	N	3		9377
222027419	65527044	1	393	95(f)	1	166875164	28	N	3		9180
222027420	65527044	2	393	9(a)	1	166875164	20	N	3		9182
222027421	65527044	3	393	9(a)	1	166875164	20	Y	99		283327
222027422	65527044	4	393	25(f)	1	166875164	20	N	3		9271
222027423	65527044	5	393	9(a)	1	166875164	20	N	3		9172
222027424	65527044	6	392	2RG	1	166875164	30	N	3		385705
222027425	65527044	7	392	2WC	1	166875164	30	N	3		385707
222027426	65527044	8	387	303(b)(4)	D		14	N	3		9560
222027427	65527045	1	392	2W	1	166875165	47	N	3		385680
222027428	65527045	2	393	95(a)	1	166875165	28	N	3		9178
222027429	65527045	3	393	95(f)	1	166875165	28	N	3		9180
222027430	65527045	4	393	78	1	166875165	26	N	3		9347
222027431	65527045	5	393	30	1	166875165	30	N	3		9274
222027432	65527045	6	393	75(a)(1)	1	166875165	23	Y	99		9332
222027433	65527045	7	392	8	D		14	N	3		9409
222027471	65527069	1	177	834(a)	1	166875199	34	Y	99	NCPD	9639
222027472	65527069	2	393	43	2	166875200	16	Y	99	NCPD	9279
222027548	65527103	1	395	15G	D		7	N	3		9188
222027549	65527103	2	393	55(c)(1)	1	166875250	16	N	3		9300
222027550	65527103	3	396	3(a)(1)	1	166875250	16	N	3		9204
222027551	65527103	4	393	48(a)	1	166875250	16	N	3	492RX98	9288
222027552	65527103	5	396	3(a)(1)	1	166875250	15	Y	99		383183
222027559	65527109	1	391	15(a)-SIN	D		8	Y	99		393830
222027560	65527109	2	391	41(a)	D		1	N	3		9377
222027561	65527109	3	390	21(a)	1	166875258	30	N	3		9566
222027562	65527109	5	393	95(f)	1	166875258	28	N	3		9180
222027563	65527109	6	393	9(a)	1	166875258	20	N	3		9172
222027564	65527109	7	393	81	1	166875258	30	N	3		9350
222027565	65527109	8	393	25(f)	1	166875258	20	N	3		9271
222027566	65527109	9	393	9(a)	1	166875258	20	Y	99		283327
222027567	65527109	10	393	11	1	166875258	20	N	3		9422
222027568	65527109	11	393	55(b)	1	166875258	16	N	3		9299
222027569	65527109	4	392	2RG	1	166875258	30	N	3		385705
222027570	65527110	1	393	95(f)	1	166875259	28	N	3		9180
222027571	65527111	1	393	9(a)	1	166875260	20	N	3		9172
222027621	65527130	1	392	2W	1	166875284	47	N	3		385680
222027622	65527130	2	396	17(c)	1	166875284	29	N	3		9202
222027623	65527130	3	393	11	1	166875284	20	N	3		9431
222027624	65527130	4	393	75C	2	166875285	23	N	3		2909
222027654	65527136	1	391	41(a)	D		1	N	3		9377
222027655	65527136	2	390	21(a)	1	166875293	30	N	3		9566
222027656	65527136	3	393	9(a)	1	166875293	20	N	3		9172
222027657	65527136	4	393	95(a)	1	166875293	28	N	3		9178
222027658	65527136	5	393	95(f)	1	166875293	28	N	3		9180
222027659	65527136	6	392	9a(a)(1)	1	166875293	30	Y	99		352343
222027660	65527137	1	390	21(a)	1	166875294	30	N	3		9566
222027661	65527137	2	393	95(a)	1	166875294	28	N	3		9178
222027662	65527137	3	392	2	1	166875294	14	N	3		8496
222027663	65527137	4	396	17(c)	1	166875294	29	N	3		9202
222027664	65527137	5	390	19	1	166875294	30	N	3		68237
222027665	65527137	6	393	55(b)	1	166875294	16	N	3		9299
222027964	65527253	1	390	21(b)	1	166875443	30	N	3		9426
222027965	65527253	2	392	2W	1	166875443	47	N	3		385680
222027966	65527253	3	392	2MI	2	166875444	14	N	3	592RQDJ	385703
222027979	65527262	1	392	9a(a)(1)	1	166875454	30	Y	99	4444550890	337774
222027980	65527262	2	393	95(a)	1	166875454	28	N	3	4444550908	9178
222027981	65527262	3	393	9(a)	1	166875454	20	N	3	4444550911	9172
222027982	65527262	4	392	9(a)	1	166875454	25	Y	99	4444550925	9411
222028059	65527295	1	393	55(d)(1)	1	166875497	16	N	3		9302
222028146	65527325	1	392	2RG	2	166875535	30	N	3		385705
222028147	65527325	2	392	2RG	2	166875535	30	N	3		385705
222028442	65527459	1	392	2C	D		40	N	3		9389
222028443	65527459	2	392	2RG	1	166875777	30	N	3		385705
222028499	65527476	2	392	2IN	1	166875848	30	N	3	5005706404	385700
222028500	65527476	3	393	45(d)	1	166875848	16	N	3		392463
222028501	65527476	4	393	95(a)	1	166875848	28	N	3		9178
222028502	65527476	5	393	75(a)(3)	2	166875849	23	Y	1		9334
222028503	65527476	1	392	2C	D		40	N	3	W001373	9389
222028525	65527481	1	393	95(a)	1	166875865	28	N	3		9178
222028526	65527481	2	393	75(a)(1)	2	166875866	23	Y	99	8007435772	9332
222028527	65527481	3	393	75C	2	166875866	23	N	3		2909
222028528	65527481	4	392	9(a)	2	166875866	25	Y	99		9411
222028529	65527482	1	393	104(f)(3)	2	166875868	25	Y	99	W000464	255027
222028532	65527485	1	392	2-SLLEWA1	1	166875875	47	N	3	W000637	390260
222028533	65527485	2	395	8E	D		2	Y	3	3003830238	253692
222028534	65527485	3	393	11	1	166875875	20	N	3		9422
222028535	65527485	4	393	78	1	166875875	26	N	3		9347
222028536	65527485	5	393	95(a)	1	166875875	28	N	3		9178
222028537	65527485	6	395	3(a)(2)-PROP	D		4	Y	3	W000637	393840
222028538	65527486	1	392	82(a)(1)	D		14	N	3	3003830239	392492
222028539	65527486	2	393	201(a)	1	166875877	19	N	3	W000638	9445
222028540	65527487	1	392	2-SLLEWA1	1	166875878	47	N	3	W000639	390260
222028568	65527490	1	395	22(h)(4)	D		7	N	3		396422
222028569	65527490	2	393	9(a)	1	166875890	20	N	3		9172
222028570	65527490	3	393	78	1	166875890	26	N	3		9347
222028571	65527490	4	393	75(a)(3)	2	166875891	23	Y	99	W000658	9334
222028572	65527490	5	392	9(a)(2)	2	166875891	25	Y	99	W000658	9413
222028573	65527490	6	393	104(b)	2	166875891	25	N	3		10044
222028574	65527490	7	393	9(a)	2	166875891	20	N	3		9172
222028582	65527492	2	391	11B2	D		14	N	3		9372
222028583	65527492	3	395	8K2	D		3	Y	3	W000660	9198
222028584	65527492	4	392	2-SLLEWA1	1	166875894	47	N	3	W000660	390260
222028585	65527493	1	392	2-SLLS4	D		45	N	3	8007435773	390240
222028586	65527493	2	391	41(a)-F	D		1	N	3	W000465	393832
222028587	65527493	3	393	95(a)	1	166875896	28	N	3		9178
222028588	65527494	1	392	2	1	166875897	47	N	3	669905	390241
222028589	65527496	1	392	2-SLLS3	D		45	N	3	8007435775	390248
222028626	65527504	1	395	8(a)(1)	D		3	Y	3	5006675436	396451
222028627	65527504	2	395	8	D		7	N	3		9194
222028628	65527504	3	395	8	D		7	N	3		9194
222028629	65527504	4	395	8	D		7	N	3		9194
222028630	65527504	5	395	8	D		7	N	3		9194
222028631	65527504	6	395	8	D		7	N	3		9194
222028632	65527504	7	395	8	D		7	N	3		9194
222028635	65527506	1	392	2-SLLEWA1	D		47	N	3	W000325	390260
222028636	65527506	2	395	8	D		7	N	3		9194
222028637	65527506	3	395	8	D		7	N	3		9194
222028638	65527506	4	395	8	D		7	N	3		9194
222028639	65527506	5	395	8	D		7	N	3		9194
222028640	65527506	6	395	8	D		7	N	3		9194
222028643	65527508	1	392	2IRP	D		30	N	3	5005451880	385701
222028644	65527508	2	392	2IN	D		30	N	3	5005451880	385700
222028645	65527508	3	395	3(a)(3)(ii)	D		7	N	3		395654
222028646	65527508	4	395	3(a)(2)	D		4	N	3		396339
222028647	65527508	5	395	8	D		7	N	3		9194
222028648	65527508	6	393	95(f)	1	166875939	28	N	3	W000809	9180
222028649	65527509	1	395	8E	D		2	Y	3	5005451881	253692
222028650	65527509	2	395	8	D		7	N	3		9194
222028651	65527509	3	395	8	D		7	N	3		9194
222028652	65527509	4	395	8	D		7	N	3		9194
222028653	65527509	5	395	8	D		7	N	3		9194
222028654	65527509	6	393	9(a)	1	166875940	20	N	3		283327
222028664	65527514	1	396	17(c)	1	166875952	29	N	3	W001452	9202
222028665	65527514	2	396	17(c)	2	166875953	29	N	3		9202
222028671	65527518	1	395	8	D		7	N	3		9194
222028672	65527518	2	395	8	D		7	N	3		9194
222028673	65527518	3	395	8	D		7	N	3		9194
222028674	65527518	4	395	8	D		7	N	3		9194
222028675	65527518	5	395	8	D		7	N	3		9194
