INSP_VIOL_SHIPPER_ID	INSP_VIOLATION_ID	SHIPPER_NAME	SHIPPER_STREET	SHIPPER_CITY	SHIPPER_STATE	SHIPPER_ZIP_CODE	SHIPPER_FIRST_BYTE	SHIPPER_DOT_NUMBER	PART_NO	PART_NO_SECTION	PART_SECTION_ID
293531	222242044	JOHN GRAVES PROPANE OF ARIZONA INC	PO BOX 6282	KINGMAN	AZ	86402		1059899	172	328B	3020
293532	222242050	RINCHEM CO INC	5565 EXPORT BLVD	GARDEN CITY	GA	31408			172	504(a)	8682
293535	222242198	PASSMORE GAS INC	POB 2070	BLYTHE	CA	92226		497357	173	315(j)(2)	396316
293536	222242199	PRAXAIR DISTRIBUTION INC	2301 SE CREEKVIEW DRIVE	ANKENY	IA	50021		664776	172	203(a)	8599
293537	222242961	DURHAM COMMUNICATIONS	4611 E VIRGINIA ST	MESA	AZ	85215		2170597	172	504(a)	8682
293538	222243317	LINDE LLC	9800 CROSSPOINT BOULEVARD STE	INDIANAPOLIS	IN	46256		117394	172	328(d)	263071
293539	222243349	CROSS PETROLEUM SERVICE	PO BOX 1388	GLENDIVE	MT	59330-1388		166338	172	326(a)	8651
293540	222244109	BLUE FLAME PROPANE LLC	1000 WEST LARK LANE	SANTAQUIN	UT	84655		2209948	172	516(c)(6)	9576
293541	222244452	UPS	1000 SEMMES AVE	RICHMOND	VA	23218		121058	172	504(a)	8682
293542	222245950	C R AUGENSTEIN INC	2344 ROUTE 136	EIGHTY FOUR	PA	15330		2283556	172	328(d)	263071
293543	222245955	AMERICAN NATURAL SUPPLY LLC	1200 LEBANON RD UNIT 440	WEST MIFFLIN	PA	15122		2332739	172	328(d)	263071
293548	222256411	AIRGAS USA LLC	31 N PEORIA AVENUE	TULSA	OK	74120		299712	172	202(a)(5)	8595
293553	222259338	SOZO 55 LLC		CAPE MAY	NJ	08204			177	817E	3363
293554	222259342	TRANSPORT FUEL & SUPPLY INC	P O BOX 36	CAPE MAY COURT HOUSE	NJ	08210		2253339	173	315(n)(3)	396319
293555	222259563	GOUDY'S WELDING REPAIR AND MAINTENANCE LLC	1196 LEEDS ROAD	ELKTON	MD	21921		1625566	172	202(a)(5)	8595
293556	222259569	BLUE FLAME GAS OF NJ	28 GORGO LANE	NEWFIELD	NJ	08344		3020795	177	817E	3363
293557	222259574	BLUE FLAME GAS OF NJ	28 GORGO LANE	NEWFIELD	NJ	08344		3020795	172	516(c)(6)	9576
293558	222259576	SUBURBAN PROPANE LP	240 ROUTE 10 WEST	WHIPPANY	NJ	07981		214695	177	817E	3363
293559	222259596	RIGGS DISTLER & COMPANY INC	4 ESTERBROOK LANE	CHERRY HILL	NJ	08003		483910	172	328(d)	263071
293560	222260581	R AND N JOHNSON MANAGEMENT INC	7983 INDIAN HEIGHTS	LAKELAND	FL	33810		1031036	172	400(a)	8664
293562	222263423	AIRGENICS INC	39 MCCLELLAN ST	NEWARK	NJ	07114		3139088	172	202(a)(5)	8595
293565	222265702	HOFFMAN CONSTRUCTION	1140 ADAMS ST STE 100	KANSAS CITY	KS	66103			172	502(a)(1)	8680
293566	222267321	GK HAULING-GARY KNAUS	14217 S HIGHWAY 71	GRANDVIEW	MO	64030		1625668	172	600(c)	9579
293567	222267869	QUEST LINER INC	2099 SOUTHPARK CT STE 1	DUBUQUE	IA	52003		1609038	172	600(c)	9579
293568	222268535	THE KIESEL COMPANY	4801 FYLER AVE	ST LOUIS	MO	63116-2005		77512	172	504(a)	8682
293569	222268610	SCOTCH CORP.	1255 VICEROY DRIVE	DALLAS	TX	75247			172	202(a)(1)	8591
293573	222269411	OGADENBURG EXPRESS LLC	1360 UNIVERSITY AVE W STE 410	ST PAUL	MN	55104		2553292	172	504(a)	8682
293574	222270910	ARIZONA GENERATOR TECHNOLOGY INC	7901 N 70TH AVENUE	GLENDALE	AZ	85303		799692	172	202(a)(2)	8592
293576	222281245	PULMOCARE RESPIRATORY SERVICES INC	760 S VIA LATA SUITE 200	COLTON	CA	92324		2765526	172	504(a)	8682
293577	222283234	STILES PAINT MFG.	21595CURTIS ST.	HAYWARD	CA	94545			172	400(a)	8664
293579	222285486	PS MARSTON ASSOCIATES LLC	38B SOUTH ROAD	NORTH HAMPTON	NH	03862-2432		274904	172	516(c)(6)	9576
293581	222285806	J DUNCAN & SON LLC	415 HALSEY ST	NEWARK	NJ	07102-2419		2943195	172	516(c)(6)	9576
293584	222285865	BLUE FLAME GAS OF NJ	28 GORGO LN	NEWFIELD	NJ	08344-9546		3020795	172	516(c)(6)	9576
293585	222285890	CARUSO EXCAVATING CO INC	PO BOX 2043	OCEAN	NJ	07712		2325605	172	201(d)	8590
293586	222285899	CHEMSTATION INTERNATIONAL	3400 ENCRETE LN	DAYTON	OH	45439-1946		446258	172	604	21459
293590	222285914	UNITED REFRIGERATION INC	11401 ROOSEVELT BLVD	PHILADELPHIA	PA	19154		257749	177	817E	3363
293592	222287944	CREATIVE LANDSCAPING BY COW BAY INC	104 HARBOR ROAD	PORT WASHINGTON	NY	11050		1162953	172	504(a)	8682
293615	222308055	DELL'S CYCLE SHOP INC	3105 W 40 HWY	BLUE SPRINGS	MO	64015		1281021	172	400(a)	8664
293616	222308523	TRI GAS DISTRIBUTING COMPANY	1660 BARLOW ST	TRAVERSE CITY	MI	49686		403426	172	402(b)	8667
293617	222308607	US INDUSTRIAL TECHNOLOGIES INC	12000 GLOBE STREET	LIVONIA	MI	48150		1133170	172	502(a)(2)	8681
293618	222308612	CONCORDANCE HEALTHCARE SOLUTIONS LLC	85 SHAFFER PARK DRIVE	TIFFIN	OH	44883-0399		380010	172	516(c)(1)	9572
293619	222308614	SPENCER INC	1915 MIAMI ST	SOUTH BEND	IN	46613		1978591	172	502(a)(1)	8680
293624	222310568	THERMO FISHER SCIENTIFIC	4500 TURNBERRY DR	HANOVER PARK	IL	60133			172	400(a)	8664
293627	222311315	THORWORKS INDUSTRIES	2520 CAMPBELL ST	SANDUSKY	OH	44870			172	200(a)	8586
293628	222311435	SW AUTOMOTIVE FINISHES	PO BOX 818019	CLEVELAND	OH	44181			172	401	8665
293630	222312014	TRUCORE ENERGY LLC	1820 CR 423	HENDERSON	TX	75652		2595829	172	504(a)	8682
293632	222312612	LANAI OIL COMPANY INC	349 HOOKELA PLACE	HONOLULU	HI	96817		2265056	172	516(c)(6)	9576
293634	222314589	ENERGETICOS SAN ROBERTO SA DE CV	501 N BRIDGE ST STE 566	HIDALGO	TX	78557		3044405	173	24(b)(1)	9589
293636	222324174	MAXIMO MENDOZAMADRIGAL	470 WEST AVENUE	GUSTINE	CA	95322		2915360	172	504(a)	8682
293637	222324779	KIVA ENERGY INC	1262 DUPONT CT	MANTECA	CA	95336		467520	172	504(a)	8682
293640	222333419	SUPER QUALITY OIL CO INC	627 RIVER DRIVE	GARFIELD	NJ	07026		1831703	172	516(c)(6)	9576
293643	222336891	SWISSPORT USA INC	998167	MIAMI	FL	33299-8167		1793325	172	516(c)(1)	9572
293645	222337807	BEST LINE OIL CO	219 NORTH 20TH STREET	TAMPA	FL	33605		928162	172	328(d)	263071
293646	222338042	PALMDALE OIL COMPANY INC	911 N 2ND ST	FT PIERCE	FL	34950		688575	172	516(c)(5)	9575
293647	222338053	ISRAEL ALFONSO GONZALEZ RIVERO	2637 OAK RUN BLVD	KISSIMMEE	FL	34744			172	504(a)	8682
293654	222340549	ECONOCARIBE CONSOLIDATORS	2401 NW 69TH STREET	MIAMI	FL	33147			172	516(c)(2)	9573
293655	222340554	BELL CHEM	1340 BENNETT DR	LONGWOOD	FL	32750			172	202(b)	8596
293656	222340684	YRC INC	10990 ROE AVENUE	OVERLAND PARK	KS	66211		71821	172	600(c)	9579
293657	222340763	COSTA OIL INC	9780 NW 115 WAY	MEDLEY	FL	33178		991923	172	516(c)(6)	9576
293662	222342921	SIDNEY LEE WELDING SUPPLY INC	P O BOX 429	HAMPTON	GA	30228		917052	172	407	10904
293665	222345390	SALLS BROTHERS CONSTRUCTION INC	P O BOX 66239	ALBUQUERQUE	NM	87193-6239		1087766	172	516(c)(6)	9576
293666	222346324	LANDSTAR RANGER INC	13410 SUTTON PARK DRIVE SOUTH	JACKSONVILLE	FL	32224		241572	172	504(a)	8682
293671	222347807	FORT RECOVERY INDUSTRIES INC	2440 STATE RTE 49	FORT RECOVERY	OH	45846			172	202(a)(2)	8592
293673	222348881	ST JOE PETROLEUM CO	2520 SOUTH 2ND	SAINT JOSEPH	MO	64501		203156	172	200(a)	8586
293675	222349121	WHITING SYSTEMS INC	9000 HIGHWAY 5 N	ALEXANDER	AR	72002-9415		448224	172	304(a)(1)	8632
293678	222349199	VEOLIA ES TECHNICAL SOLUTIONS	4301 INFIRMARY ROAD	WEST CARROLTON	OH	45449			172	504(a)	8682
293679	222349463	KNIGHT TRANSPORTATION INC	20002 NORTH 19TH AVENUE	PHOENIX	AZ	85027		428823	172	502(a)(1)	8680
293682	222351092	BAKER HUGHES OILFIELD OPERATIONS LLC	PO BOX 670968	HOUSTON	TX	77267		107540	172	504(a)	8682
293683	222352653	CHEM POINT	1000 STATE STREET	CALUMET CITY	IL	60409			172	516(c)(6)	9576
293684	222352660	BARIUM & CHEMICALS, INC	515 KINGSDALE ROAD	STEUBENVILLE	OH	43952			172	502(a)(1)	8680
293685	222354606	TRANSPORTES JAVIER CANTU BARRAGAN	501 N BRIDGE ST PMB 165	HIDALGO	TX	78557		782026	173	24(b)	9588
293686	222368344	SKASOL INCORPORATED	1696 W. GRAND AVE.	OAKLAND	CA	94607			172	400(a)	8664
293687	222370888	LEE JENNINGS TARGET EXPRESS INC	1465 FRANKLIN AVENUE	POMONA	CA	91766		810111	172	504(a)	8682
293688	222370935	PHIBRO-TECH, INC	8851 DICE ROAD	SANTA FE SPRINGS	CA	90670			172	201(d)	8590
293689	222370936	ECOLOGY AUTO PARTS INC.	13780 EAST IMPERIAL HWY	SANTA FE SPRINGS	CA	90670			172	201(d)	8590
293693	222375243	BK EXPRESS LLC	7211 BRIAR RD	PHILADELPHIA	PA	19138		3195151	172	202(b)	8596
293695	222375423	BK EXPRESS LLC	7211 BRIAR RD	PHILADELPHIA	PA	19138		3195151	172	202(b)	8596
293699	222376068	AP CONSTRUCTION INC	915 SOUTH BLACK HORSE PIKE	BLACKWOOD	NJ	08012		86740	172	516(c)(6)	9576
293701	222378063	MOTT MANUFACTURING	562 INDSTRIAL PARK RD	MAXWELTON	WV	24957			172	504(a)	8682
293702	222380056	EASTMAN CHEMICAL COMPANY	100 N EASTMAN ROAD	KINGSPORT	TN	37662			172	506(a)(1)	9635
293703	222382279	MAGELLAN TERMINALS HOLDINGS	P.O. BOX 22186	TULSA	OK	74121			172	504(a)	8682
293704	222382328	MACHINE & WELDING SUPPLY COMPANY	P O BOX 1708	DUNN	NC	28335-1708		108607	172	202(b)	8596
293707	222383592	BLACKLIDGE EMULSIONS INC	12251 BERNARD PARKWAY SUITE 20	GULFPORT	MS	39503		382974	172	502(a)(2)	8681
293708	222384564	HENDERSON AND SON INC	285 CENIE ROAD	FLOVILLA	GA	30216		1172931	172	301(a)(1)	385686
293711	222389414	NALCO COMPANY	812 RENAUD DRIVE	SCOTT	LA	70583			172	202(a)(3)	8593
293713	222389852	INTERNATIONAL PAINT LLC	4111 MALONE DR	PASADENA	TX	77507			172	516(c)(5)	9575
293717	222392238	FROST OIL CO	1430 SOUTH 28TH	VAN BUREN	AR	72956-6282		223171	172	202(a)(2)	8592
293719	222394681	ACETO CORPORATION	320 ELIZABETH AVE	NEWARK	NJ	07112			172	203(c)(2)	8602
293724	222395312	HUNTSMAN ADVANCED MATERIALS	5121 SAN FERNANDO RD WEST	LOS ANGELES	CA	90039			172	201(a)(1)	8587
293725	222395460	NIELSEN ENTERPRISES INC	900 NORTH BROADWAY AVE	LAVERNE	OK	73848		1649869	172	328(d)	263071
293727	222396544	MED RESOURCES INC	14805 N OUTER 40 ROAD SUITE 10	CHESTERFIELD	MO	63017		929194	172	504(a)	8682
293729	222397188	CANADIAN LIQUID PROCESSORS	15 BIGGAR AVENUE	HAMILTON	ON	L8L3Z3			172	202(b)	8596
293731	222399817	TEDIA	1000 TEDIA WAY	FAIRFIELD	OH	45014			172	202(a)(5)	8595
293733	222400191	AMERIGAS PROPANE LP	P O BOX 858	VALLEY FORGE	PA	19482		388004	172	328B	3020
293734	222400258	LEADING EDGE-TEMPE	1444 W 10TH PL	TEMPE	AZ	85281			172	203(k)	8617
293735	222400256	WESCO/KC-BELL	2737 E BELL RD	PHOENIX	AZ	85032			172	202(a)(2)	8592
293740	222402812	AGRI-ENERGY INC	PO BOX 306	MONTROSE	SD	57048		505366	172	504(a)	8682
293744	222415427	GINGER'S SERVICE STATION INC	P O BOX 1427	WESTERLY	RI	02891-0907		203591	172	516(c)(2)	9573
293746	222416791	NOURHAN TRADING GROUP LLC	27 ENGELHARD AVE	AVENEL	NJ	07001		2122481	172	502(a)(1)	8680
293747	222417729	LAROC PAVING LLC	746 WAYSIDE RD	NEPTUNE	NJ	07753-2842		3113918	172	600(c)	9579
293748	222417811	SUPER QUALITY OIL CO INC	627 RIVER DRIVE	GARFIELD	NJ	07026		1831703	172	516(c)(5)	9575
293754	222422016	GLY-TECH SERVICES LLC	2054 PAXTON STREET	HARVEY	LA	70058			172	331C	396307
293757	222430653	MUSKET CORPORATION							173	24(b)(1)	9589
293759	222430808	G&S FARMS	1378 CO RD 43	PRATTVILLE	AL	36067			172	504(a)	8682
293760	222431920	YRC INC	10990 ROE AVENUE	OVERLAND PARK	KS	66211		71821	172	504(a)	8682
293762	222431962	BRENNTAG PACIFIC INC	10747 PATTERSON PL	SANTA FE SPRINGS	CA	90670		1207159	172	516(c)(6)	9576
293764	222446971	VERITIV	13201 MID ATLANTIC BLVD STE 200	LAUREL	MD	20708			172	200(a)	8586
293768	222447596	L & L PAVING COMPANY INC	89 YELLOWBROOK ROAD	FARMINGDALE	NJ	07727		2922329	172	600(c)	9579
293771	222447713	JPC GROUP INC	228 BLACKWOOD-BARNSBORO ROAD	BLACKWOOD	NJ	08012		979497	177	817E	3363
293772	222447722	GREENWOOD MOTOR LINES INC	PO BOX 271	WILMINGTON	OH	45177		63391	177	817E	3363
293773	222448055	GRADE A PETROLEUM CORPORATION	90 EAST HAWTHORNE AVENUE	VALLEY STREAM	NY	11580		382578	172	202(a)(4)	8594
293775	222448207	L & M WELDING LLC	10 TAYLOR STREET	FREEPORT	NY	11520		2164227	172	201(d)	8590
293777	222451225	DEBORAH FLOWERS	102 BUFORD CIRCLE	SHELLMAN	GA	39886		2468190	172	502(a)(1)	8680
293778	222451922	COTTON'S TRANSPORTATION LLC	7009 PINE CONE LANE	MONROE	NC	28110		1527576	172	324	8648
293779	222452542	FERRELLGAS L P	ONE LIBERTY PLAZA MD#5	LIBERTY	MO	64068		89243	172	202(b)	8596
293780	222453346	DRAKE GAS CO INC	PO BOX 492	ROYSTON	GA	30662-0492		1063202	173	315(j)(2)	396316
293789	222458618	DRAKE GAS CO INC	PO BOX 492	ROYSTON	GA	30662-0492		1063202	172	202(b)	8596
293792	222461061	OTIS M BEVERLY	2122 LUN OQUINN RD	ODUM	GA	31555		1279084	173	24(b)(1)	9589
293799	222464877	ALL-STATE EXPRESS INC	121-I SHIELDS PARK DR	KERNERSVILLE	NC	27284		802403	172	502(a)(1)	8680
293800	222465010	NORTHERN RESOURCES COOPERATIVE	PO BOX 250	ROSEAU	MN	56751		1074921	172	516(c)(6)	9576
293802	222466278	SAFETY KLEEN	2600 NORTH CENTRAL AVE	RICHARDSON	IL	75080			172	202(a)(5)	8595
293803	222468001	SEABOARD TERMINAL	16203 PENINSULA BLVD	HOUSTON	TX	77015			172	516(c)(4)	9574
293804	222468002	SEABOARD	16203 PENINSULA BLVD	HOUSTON	TX	77015			173	30	9596
293805	222468164	21ST CENTURY ENVIRONMENTAL	2095 NEWLANDS DRIVE EAST	FERNLEY	NV	89408			172	400(a)	8664
293806	222468236	AMERICAN FRUITS AND FLAVORS, LLC	1547 NORTH KNOWLES AVENUE	LOS ANGELES	CA	90063			172	516(c)(6)	9576
293810	222470079	AUTO ZONE	123 SOUTH FRONT STREET	MEMPHIS	TN	38103		288323	172	504(a)	8682
293811	222476272	PPG INDUSTRIES INC	ONE PPG PLACE	PITTSBURGH	PA	15272		793465	172	202(a)(1)	8591
293812	222476792	TRANSCO LOGISTICS LLC	9224 TUPMAN ROAD	TUPMAN	CA	93276		3161080	172	328(d)	263071
293819	222481435	WEAVER OIL INC	PO BOX 185	THOROFARE	NJ	08086		354341	172	516(c)(4)	9574
293823	222486389	MICHAEL RUSSELL WELLS	107 JEFFREY CIR	ENFIELD	NC	27823			172	400(a)	8664
293825	222490079	SCOTT PETROLEUM CORPORATION	102 MAIN STREET	ITTA BENA	MS	38941		300870	172	202(b)	8596
293827	222492024	H D PAYNE & COMPANY OF GREENWOOD	606 EAST DURST AVE	GREENWOOD	SC	29646		1057483	172	334	8662
293829	222494644	BLUE COMPACTOR SERVICES	8984 215TH ST	LAKEVILLE	MN	55044		1918962	172	301(a)(1)	385686
293830	222494682	CERAMIC INDUSTRIAL COATINGS	325 HIGHWAY 81	OSSEO	MN	55369			172	202(b)	8596
293831	222495585	BRIAN SCHMIDT ENTERPRISES LLC	7273 LODI SPRINGFIELD ROAD	LODI	WI	53555		1371559	173	24(b)	9588
293832	222495980	CBSL TRANSPORTATION SERVICES INC	4750 S MERRIMAC AVE	CHICAGO	IL	60638		291788	172	502(a)(1)	8680
293833	222496679	FCL LOGISTIC PUBLIC WAREHOUSE	1130 E 230TH ST	CARSON	CA	90745			172	201(d)	8590
293834	222497084	NC BRANDS LP	6486 RIDINGS RD	SYRACUSE	NY	13205			172	200(a)	8586
293839	222501147	ENVISION TRANSPORT LTD	9380 116TH STREET	DELTA	BC	V4C 5W9		1207505	172	504(a)	8682
293840	222511397	BRENNTAG PACIFIC INC	10747 PATTERSON PLACE	SANTA FE SPRINGS	CA	90670		1207159	172	516(c)(6)	9576
293841	222511437	M P ENVIRONMENTAL SERVICES INC	3400 MANOR STREET	BAKERSFIELD	CA	93308		441566	173	24(b)	9588
293842	222511442	WINDECKER INC	940 H ST	LOS BANOS	CA	93635		2729030	172	202(a)(5)	8595
